label,CPU0_cycles,CPU1_cycles,CPU2_cycles,CPU3_cycles,VmSize,VmRSS,VmData,VmStk,VmExe,VmLib,VmPTE,CPU4_cycles,CPU5_cycles,CPU6_cycles,CPU7_cycles,CPU8_cycles,CPU9_cycles,CPU10_cycles,CPU11_cycles
3,547269825,-1417383462,-3008096844,240938067,-361275.5387457536,5266.832213547166,-15681.61175771521,406.32776464003786,34.37224499575521,-603.9059515049935,50.15385020301874,1518990140.859558,144257218.45074216,1101624537.091534,620659630.1240236,3603001465.289129,-948653305.4640038,-1656796331.8047261,377862145.3822794
3,2380050822,-1344422753,140729310,-1170572718,-56805.56315850532,3998.09801524517,5308.913220995986,36.50228960341221,-9.517252730045271,1997.2382547310713,53.47469758368216,-970832133.8989706,-336701320.9917542,1332928392.6627216,308169721.66780186,1780602402.7662182,-413890307.37993526,-246169690.7457739,1324101907.7516797
8,3082988975,1580611145,3397728378,-1760552775,259338.56113145343,5496.283304719306,13991.466173565634,97.6125443605065,120.14976551405347,4697.98758825862,53.98698270808704,445814205.5636842,-267844344.45803413,436765374.3857443,192951333.68509543,296608980.39678407,1400136616.128231,285983747.27066255,1855701013.998377
1,-2289174462,1666065574,4136517512,767038724,525726.750676691,2000.680778151482,18725.88727583766,566.0160793494827,322.5122086256604,3559.7434438115647,48.64240449142157,233644943.96768123,733614523.6003284,-83593251.66256079,-258841282.03032133,1593203245.6220913,808282926.840215,-992909163.1040064,1790958275.3716805
6,2097304,2029288531,-514143182,1959215831,201030.85585181514,399.5772045531212,-3624.96821631251,548.3355808698757,620.2535567411549,4648.88676270589,24.153018533131295,1734826309.2502587,-3006679105.1968246,-208150863.54341352,1030470145.3379589,450657704.75702035,1905304294.6954768,902134686.9085832,1425395907.1734686
2,-1682114349,-1284162287,-1098670513,2154995058,272681.0886316119,4783.728935062241,9933.25142961863,-45.7915011176743,80.51019382138661,5968.626991497465,26.433373326392978,-590870522.4493587,1020496251.2892506,-1255187805.917708,-553345292.0608072,2223581528.809022,963278162.4010031,1275737325.8978052,540134034.0116504
7,-61521556,78351076,1174716014,-2232087527,-180424.34689820575,2268.320898883067,9713.209672062658,158.46078751502077,-124.7169094561443,4584.7303624933675,16.641804662080425,-736947380.796469,-1010420228.1407554,-1025702835.7530729,-1348947749.4017265,1152299657.0870397,-846979300.7326442,329370128.3046801,1852507269.6798747
4,-1173580524,-937170435,134551377,1956063311,277197.160460676,4697.930135961906,-11102.378703953502,619.0930168441311,-14.865697534229042,3763.606865562366,50.1987828228175,739781700.5129879,2047665201.4147289,1972811702.420577,197071700.64641917,937416651.8451104,-5821634.35482201,815795167.440948,530733329.59796506
5,1362099926,1404566845,2244153965,1019568519,83363.82687278665,4006.224694039037,9717.601255190883,708.3663694556107,196.9570855354889,5089.804014954866,29.97930051708804,1347385501.208686,180089247.7819733,789045254.5124391,67712430.81853418,-603077642.7187998,344271460.7704364,-1033592156.0735303,725725006.0503721
3,2374210754,-1180618769,1099879262,2284883309,734824.7191984574,3028.0384635584815,1873.1193616847295,221.28135873523863,-352.47873157105437,4832.101925973488,61.191424577665536,928125770.1208553,-942124527.5093701,-1650162134.6500702,225061859.1568042,75456780.90074202,-1236078653.2165601,221218989.86255267,3001989413.14224
